,Learning Rate,Dropout Rate,Batch Size,Accuracy
62,0.05,0.2,5,89.3
31,0.01,0.4,3,88.6
68,0.05,0.3,10,88.3
37,0.01,0.6,5,88.2
27,0.01,0.3,5,87.3
36,0.01,0.6,3,87.1
32,0.01,0.4,5,86.4
48,0.1,0.3,10,85.9
61,0.05,0.2,3,85.39999999999999
26,0.01,0.3,3,85.2
33,0.01,0.4,10,85.2
67,0.05,0.3,5,85.2
72,0.05,0.4,5,85.1
21,0.01,0.2,3,85.0
22,0.01,0.2,5,84.2
23,0.01,0.2,10,82.89999999999999
71,0.05,0.4,3,82.69999999999999
66,0.05,0.3,3,82.69999999999999
42,0.1,0.2,5,82.1
47,0.1,0.3,5,82.1
43,0.1,0.2,10,81.89999999999999
28,0.01,0.3,10,81.2
38,0.01,0.6,10,79.80000000000001
76,0.05,0.6,3,78.3
16,0.001,0.6,3,77.8
52,0.1,0.4,5,77.0
41,0.1,0.2,3,76.9
6,0.001,0.3,3,76.3
1,0.001,0.2,3,76.1
11,0.001,0.4,3,76.1
79,0.05,0.6,30,72.89999999999999
63,0.05,0.2,10,71.2
29,0.01,0.3,30,71.0
2,0.001,0.2,5,68.2
7,0.001,0.3,5,67.60000000000001
46,0.1,0.3,3,66.2
34,0.01,0.4,30,65.0
17,0.001,0.6,5,64.7
0,0.001,0.2,1,61.7
51,0.1,0.4,3,60.9
53,0.1,0.4,10,59.8
18,0.001,0.6,10,58.9
24,0.01,0.2,30,58.599999999999994
12,0.001,0.4,5,58.3
56,0.1,0.6,3,54.2
5,0.001,0.3,1,49.6
59,0.1,0.6,30,45.1
8,0.001,0.3,10,39.0
13,0.001,0.4,10,38.4
3,0.001,0.2,10,37.8
10,0.001,0.4,1,33.900000000000006
58,0.1,0.6,10,33.4
54,0.1,0.4,30,33.2
57,0.1,0.6,5,25.7
19,0.001,0.6,30,25.2
15,0.001,0.6,1,22.900000000000002
14,0.001,0.4,30,21.6
9,0.001,0.3,30,21.3
4,0.001,0.2,30,21.099999999999998
39,0.01,0.6,30,14.6
25,0.01,0.3,1,14.299999999999999
75,0.05,0.6,1,12.1
73,0.05,0.4,10,11.899999999999999
65,0.05,0.3,1,11.899999999999999
70,0.05,0.4,1,11.600000000000001
69,0.05,0.3,30,11.5
30,0.01,0.4,1,11.4
64,0.05,0.2,30,11.200000000000001
78,0.05,0.6,10,11.1
45,0.1,0.3,1,11.0
77,0.05,0.6,5,10.5
50,0.1,0.4,1,10.5
74,0.05,0.4,30,10.5
35,0.01,0.6,1,10.4
44,0.1,0.2,30,10.100000000000001
55,0.1,0.6,1,10.0
49,0.1,0.3,30,9.9
60,0.05,0.2,1,9.8
40,0.1,0.2,1,9.700000000000001
20,0.01,0.2,1,9.3
